Species,Jaccard_dissimilarity_SpeciesExcluded_B06,Jaccard_dissimilarity_SpeciesIncluded_B06,Jaccard_dissimilarity_SpeciesExcluded_Signif_B06,Jaccard_dissimilarity_SpeciesIncluded_Signif_B06
s__Roseburia_faecis,0.70973612991832,0.475758142259061,0.70973612991832,0.475758142259061
s__Rothia_mucilaginosa,0.737168112197179,0.630960467713646,,
s__Ruminococcus_bicirculans,0.710731408091159,0.441136148614147,0.710731408091159,0.441136148614147
s__Ruminococcus_bromii,0.720551832622542,0.45142181762881,0.720551832622542,0.45142181762881
s__Ruminococcus_gnavus,0.715571026278702,0.614219174363584,0.715571026278702,0.614219174363584
s__Ruminococcus_torques,0.709508696393177,0.459288276049731,0.709508696393177,0.459288276049731
s__Ruthenibacterium_lactatiformans,0.699882779518461,0.577934215561867,,
s__Slackia_isoflavoniconvertens,0.70437420378062,0.609158783314622,,
s__Staphylococcus_aureus,0.719736810452758,0.665989272482049,,
s__Staphylococcus_epidermidis,0.720824876306576,0.648322731262203,,
s__Streptococcus_infantis,0.729531699459933,0.62976727940797,,
s__Streptococcus_mitis,0.809607238639497,0.686974679771246,,
s__Streptococcus_oralis,0.729099311825468,0.587036281099071,0.729099311825468,0.587036281099071
s__Streptococcus_parasanguinis,0.691900572545734,0.68401140204723,,
s__Streptococcus_pasteurianus,0.713740948556673,0.620272028357471,,
s__Streptococcus_peroris,0.668851778809067,0.691230986164344,,
s__Streptococcus_pneumoniae,0.708465555147886,0.613109454659335,0.708465555147886,0.613109454659335
s__Streptococcus_pseudopneumoniae,0.720183306920478,0.579374801185907,0.720183306920478,0.579374801185907
s__Streptococcus_salivarius,0.699376485306137,0.695715564016377,,
s__Streptococcus_sp_A12,0.703230062701025,0.686869270135342,,
s__Streptococcus_thermophilus,0.711114720089834,0.621102967584195,,
s__Varibaculum_cambriense,0.701898945585886,0.685934465905731,,
s__Veillonella_atypica,0.698764297512184,0.641881552674723,,
s__Veillonella_dispar,0.725147076202926,0.607949837583155,,
s__Veillonella_infantium,0.715973865654965,0.583583804966411,,
s__Veillonella_parvula,0.672077207133076,0.675585943094825,0.672077207133076,0.675585943094825
s__Veillonella_sp_CAG_933,0.709602862032223,0.642974873211908,,
s__Veillonella_sp_T11011_6,0.715665239760122,0.566162767321343,0.715665239760122,0.566162767321343
